#{"t_start": 1751064068.588806, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
410.0,2397,3.344141
155.0,2257,3.769322
210.0,3811,4.449884
30.0,1333,4.700582
15.0,1615,5.005398
55.0,1439,5.273751
50.0,1783,5.613841
180.0,2213,6.054953
175.0,2631,6.526861
210.0,2465,6.961742
60.0,1465,7.218299
40.0,1181,7.424818
105.0,1969,7.779417
125.0,1781,8.127766
65.0,1473,8.409237
45.0,1205,8.637531
135.0,2009,9.074561
110.0,1779,9.420178
210.0,3029,9.99299
105.0,1429,10.25754
35.0,1171,10.483924
125.0,2117,10.910405
20.0,1779,11.234224
235.0,2491,11.681213
80.0,1557,11.954096
20.0,1481,12.216648
180.0,2257,12.609838
210.0,4015,13.35432
135.0,1907,13.706782
100.0,1859,14.045677
70.0,1475,14.350954
210.0,2393,14.786444
290.0,2949,15.315596
155.0,2327,15.772575
445.0,3659,16.461787
30.0,1321,16.708
165.0,2553,17.277706
105.0,1891,17.655135
185.0,1671,17.96551
80.0,1531,18.251479
85.0,2295,18.798926
115.0,2559,19.318192
185.0,2869,19.910833
285.0,2897,20.443388
55.0,1429,20.734057
135.0,2031,21.12385
55.0,1305,21.399963
90.0,1747,21.73997
135.0,1753,22.076498
45.0,1539,22.351629
130.0,2027,24.966903
45.0,1113,25.175246
120.0,1509,25.450915
80.0,1151,25.698732
105.0,1497,25.985555
155.0,2149,26.377168
130.0,1737,26.690109
70.0,1489,26.951891
125.0,1441,27.205233
65.0,1677,27.499772
120.0,2021,27.863323
125.0,1233,28.089642
135.0,2215,28.493113
120.0,1727,28.807022
95.0,2115,29.194552
105.0,2077,29.569408
35.0,1897,29.915932
150.0,2357,30.336316
250.0,3389,30.955821
40.0,1599,31.278601
135.0,1985,31.655589
65.0,1715,31.954958
135.0,2383,32.369782
260.0,2825,32.866989
155.0,1699,33.175671
50.0,1377,33.423652
120.0,1683,33.729699
50.0,1497,34.005151
185.0,1901,34.348751
210.0,2397,34.783469
90.0,1655,35.085885
155.0,2901,35.617649
135.0,2801,36.129559
35.0,953,36.304334
125.0,2029,36.67294
120.0,1957,37.017012
435.0,4488,37.823463
135.0,2299,38.239347
200.0,4907,39.119563
105.0,1941,39.468775
185.0,2371,39.894923
155.0,2813,40.403293
155.0,2391,40.889851
270.0,2587,41.4213
135.0,1891,41.84847
60.0,1201,42.089977
135.0,2699,42.606334
45.0,1729,42.92824
30.0,1169,43.152381
65.0,1535,43.511431
40.0,1179,45.792415
270.0,3081,46.349433
155.0,2055,46.717884
105.0,1541,46.992229
565.0,3459,47.598438
30.0,1409,47.86462
110.0,1605,48.171218
50.0,1065,48.374203
105.0,1857,48.715417
70.0,2573,49.231818
30.0,1623,49.54222
135.0,1391,49.80212
210.0,2395,50.237021
155.0,2371,50.668417
210.0,3539,51.351637
100.0,1585,51.663059
70.0,1879,52.004882
130.0,2261,52.409618
45.0,1209,52.622968
90.0,1801,52.968137
115.0,2075,53.361132
210.0,2369,53.822938
60.0,1753,54.152475
385.0,3431,54.77109
120.0,1991,55.168879
80.0,1363,55.416062
425.0,3315,56.04046
80.0,1543,56.340078
155.0,2187,56.739958
125.0,1855,57.068442
210.0,2453,57.497111
110.0,1415,57.747687
180.0,2363,58.178786
155.0,2079,58.558438
80.0,1553,58.852409
125.0,1815,59.184209
115.0,1527,59.462157
135.0,1787,59.793949
80.0,1431,60.071971
355.0,3495,60.767247
